##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): Aug. 9, 2016, 10:12 a.m.
## Download Date (Y/M/D): 2016/09/26
##
## Query String: {&quot;sort&quot;:&quot;kic&quot;,&quot;kics&quot;:[],&quot;campaign&quot;:[&quot;-2&quot;],&quot;etvlong&quot;:true,&quot;cols&quot;:[&quot;sdepth&quot;,&quot;glon&quot;,&quot;scdata&quot;,&quot;camp&quot;,&quot;pteff&quot;,&quot;cteff&quot;,&quot;ra&quot;,&quot;bjd0&quot;,&quot;morph&quot;,&quot;glat&quot;,&quot;n&quot;,&quot;koi&quot;,&quot;pdepth&quot;,&quot;kic&quot;,&quot;lcdata&quot;,&quot;dec&quot;,&quot;koiid&quot;,&quot;keff&quot;,&quot;p&quot;,&quot;sep&quot;,&quot;pwidth&quot;,&quot;swidth&quot;,&quot;bjd0err&quot;,&quot;perr&quot;,&quot;kmag&quot;],&quot;etvshort&quot;:true,&quot;incat1&quot;:true,&quot;kois&quot;:[]}
##
KIC,camp,KOI,Mult,period,period_err,bjd0,bjd0_err,pdepth,sdepth,pwidth,swidth,sep,morph,RA,DEC,GLon,GLat,kmag,Teff,Teff(Pinsonneault),Teff(Casagrande),KOI,SC,
2166200,Kepler,3735,1,8.0969564,0.0000639,55006.127339,0.022259,0.1008,-1.0000,0.0152,-1.0000,1.0000,0.11,292.7337,37.5593,70.6731,9.0315,17.6370,6344.0000,-1.0000,-1.0000,True,False,
2167890,Kepler,3670,1,2.6483007,0.0000057,55185.843253,0.018062,0.0129,-1.0000,0.0381,-1.0000,1.0000,0.29,293.0936,37.5145,70.7663,8.7576,12.8580,4837.0000,-1.0000,-1.0000,True,False,
2302092,Kepler,-1,1,0.2946734,0.0000002,54964.690581,0.025649,0.2118,0.1713,0.1403,0.1727,0.4873,0.88,291.2623,37.6979,70.2621,10.1328,14.4400,5245.0000,5238.0000,5305.0000,False,False,
2305277,Kepler,-1,1,0.3787718,0.0000003,54964.986693,0.020035,0.0531,0.0522,0.2646,0.2392,0.5019,0.98,291.9707,37.6512,70.4761,9.6111,15.1010,5694.0000,5935.0000,5918.0000,False,False,
2305372,Kepler,-1,1,1.4046920,0.0000017,54965.954227,0.035813,0.6900,0.1284,0.1320,0.1155,0.5020,0.58,291.9903,37.6728,70.5027,9.6071,13.8210,5664.0000,5972.0000,5499.0000,False,False,
2305543,Kepler,4936,1,1.3622735,0.0000019,55003.400909,0.017121,0.1078,0.1052,0.0659,0.0687,0.4997,0.50,292.0269,37.6007,70.4509,9.5486,12.5450,5623.0000,-1.0000,-1.0000,True,False,
2306740,Kepler,-1,1,10.3069870,0.0000306,54966.425207,0.067457,0.3153,0.2950,0.0386,0.0209,0.5158,0.27,292.2698,37.6982,70.6277,9.4217,13.5450,5647.0000,5931.0000,6201.0000,False,False,
2306756,Kepler,113,1,386.6000000,0.0050535,54999.342231,0.044178,0.0236,0.0008,0.0006,0.0006,0.9689,0.00,292.2737,37.6716,70.6051,9.4067,12.3940,5362.0000,5488.0000,5633.0000,True,True,
2307199,Kepler,151,1,13.4471107,0.0000447,55006.176594,0.020973,0.0014,-1.0000,0.0094,-1.0000,1.0000,0.07,292.3748,37.6310,70.6055,9.3170,14.0000,6028.0000,6290.0000,6253.0000,True,True,
2307206,Kepler,3549,1,204.0313791,0.0022831,55086.538682,0.106873,0.3534,0.1969,0.0032,0.0019,0.5071,0.01,292.3762,37.6575,70.6299,9.3282,15.7340,5342.0000,5548.0000,5595.0000,True,False,
2308957,Kepler,-1,1,2.2196838,0.0000033,54965.166461,0.048525,0.3317,0.2995,0.1149,0.1076,0.4996,0.59,292.7518,37.6035,70.7196,9.0391,14.5200,5697.0000,5960.0000,6085.0000,False,False,
2309587,Kepler,5982,1,1.8385106,0.0000025,54965.101351,0.020303,0.1153,-1.0000,0.0608,-1.0000,1.0000,0.44,292.8997,37.6593,70.8243,8.9608,13.9250,5560.0000,5823.0000,5891.0000,True,False,
2309719,Kepler,1020,1,54.3563603,0.0003133,54997.069278,0.041307,0.0099,-1.0000,0.0043,-1.0000,1.0000,0.02,292.9309,37.6066,70.7885,8.9146,12.8990,5786.0000,6059.0000,6188.0000,True,True,
2435971,Kepler,-1,1,0.2718280,0.0000002,54964.815967,0.018215,0.0229,0.0174,0.2525,0.2392,0.4695,0.94,290.0796,37.7880,69.9236,11.0114,14.6950,-1.0000,-1.0000,-1.0000,False,False,
2436378,Kepler,2682,1,8.5316130,0.0000372,54969.278076,0.019058,0.0455,-1.0000,0.0131,-1.0000,1.0000,0.09,290.1417,37.7414,69.9028,10.9469,18.4980,-1.0000,-1.0000,-1.0000,True,False,
2437038,Kepler,-1,1,0.2676785,0.0000002,54964.980693,0.049493,0.2700,0.2534,0.1849,0.1762,0.5041,0.87,290.1984,37.7421,69.9235,10.9070,15.9550,5461.0000,5584.0000,-9999.0000,False,False,
2437060,Kepler,3712,1,3.1871104,0.0000228,55000.890724,0.043079,0.1141,0.0182,0.0769,0.0775,0.5039,0.47,290.1995,37.7770,69.9558,10.9214,16.9880,4452.0000,-1.0000,-1.0000,True,False,
2437149,Kepler,3598,1,18.7987347,0.0002837,55008.621824,0.044609,0.2338,0.1535,0.0131,0.0190,0.4885,0.11,290.2058,37.7691,69.9508,10.9136,17.6280,5130.0000,-1.0000,-1.0000,True,True,
2437452,Kepler,-1,1,14.4699302,0.0000499,54974.816530,0.048037,0.1178,0.0477,0.0196,0.0234,0.5005,0.16,290.2262,37.7596,69.9493,10.8949,16.9810,5398.0000,5679.0000,-9999.0000,False,True,
2437505,Kepler,2671,1,21.4764220,0.0001407,54982.261859,0.033460,0.0341,-1.0000,0.0088,-1.0000,1.0000,0.06,290.2303,37.7775,69.9671,10.8998,17.2900,-1.0000,-1.0000,-1.0000,False,False,
2438061,Kepler,-1,1,4.8858521,0.0000167,55004.093627,0.025130,0.0081,0.0043,0.0334,0.0344,0.5011,0.30,290.2770,37.7910,69.9959,10.8725,-1.0000,-1.0000,-1.0000,-1.0000,False,True,
2438490,Kepler,3699,1,3.3157673,0.0000436,55001.014453,0.149523,0.0844,-1.0000,0.0464,-1.0000,1.0000,0.34,290.3259,37.7615,69.9863,10.8248,17.7720,5317.0000,-1.0000,-1.0000,True,False,
2440757,Kepler,792,1,1.4337707,0.0000018,54964.685956,0.013408,0.0019,-1.0000,0.0493,-1.0000,1.0000,0.36,290.8437,37.7288,70.1403,10.4430,15.1220,5990.0000,-1.0000,-1.0000,True,False,
2441161,Kepler,3642,1,4.3839800,0.0000285,55004.684524,0.019591,0.0870,0.0542,0.0253,0.0260,0.5010,0.25,290.9384,37.7012,70.1489,10.3636,16.6540,5112.0000,-1.0000,-1.0000,True,False,
2442084,Kepler,-1,1,49.7885977,0.0002837,55008.192092,0.045072,0.2071,0.1473,0.0051,0.0026,0.1804,0.03,291.1601,37.7611,70.2828,10.2333,15.5910,4005.0000,4097.0000,-9999.0000,False,False,
2444187,Kepler,-1,1,0.3901594,0.0000003,54964.814979,0.021043,0.3987,0.3862,0.1093,0.1072,0.5008,0.76,291.6323,37.7380,70.4318,9.8892,14.1380,6162.0000,6478.0000,6757.0000,False,False,
2444348,Kepler,-1,1,103.2069891,0.0007653,54992.474120,-1,0.0007,-1.0000,0.0935,-1.0000,1.0000,-1.00,291.6687,37.7041,70.4143,9.8482,10.3160,4546.0000,4702.0000,4707.0000,False,False,
2445134,Kepler,5983,1,8.4120089,0.0000228,54972.647749,0.035101,0.1379,0.0074,0.0238,0.0264,0.5008,0.16,291.8497,37.7386,70.5112,9.7361,13.5510,5999.0000,6260.0000,6593.0000,True,False,
2445975,Kepler,53,1,3.3888824,0.0000062,54967.981114,0.018139,0.0084,0.0083,0.0164,0.0160,0.5004,0.14,292.0309,37.7735,70.6086,9.6242,13.5130,-1.0000,-1.0000,-1.0000,True,False,
2446623,Kepler,3674,1,175.0657200,0.0015784,55012.043234,0.028559,0.0386,-1.0000,0.0011,-1.0000,1.0000,0.00,292.1653,37.7941,70.6760,9.5389,15.6200,5790.0000,6078.0000,5765.0000,True,False,
2447893,Kepler,-1,1,0.6616200,0.0000006,54965.113742,0.014914,0.1767,0.1193,0.1062,0.1077,0.4990,0.58,292.4240,37.7945,70.7710,9.3571,14.4900,5059.0000,5315.0000,5195.0000,False,False,
2448320,Kepler,-1,1,0.2741085,0.0000002,55002.065503,0.015835,0.0210,0.0177,0.2451,0.2536,0.5005,0.93,292.5191,37.7160,70.7351,9.2544,15.8580,5160.0000,-1.0000,-1.0000,False,False,
2449084,Kepler,-1,1,0.7397571,0.0000123,55000.319865,0.042648,0.3852,0.1618,0.1975,0.1941,0.5025,0.70,292.6956,37.7720,70.8503,9.1560,15.0180,6177.0000,-1.0000,-1.0000,False,False,
2449090,Kepler,3702,1,4.9440000,0.0000315,55001.811037,0.028135,0.1658,0.0451,0.0319,0.0398,0.4994,0.24,292.6963,37.7072,70.7923,9.1258,16.2370,-1.0000,-1.0000,-1.0000,True,False,
2450566,Kepler,-1,1,1.8445871,0.0000025,55001.553286,0.099698,0.0033,0.0035,0.2590,0.2503,0.4982,0.98,293.0363,37.7627,70.9677,8.9128,11.7200,6380.0000,6608.0000,6847.0000,False,False,
2452440,Kepler,3687,1,8.0970448,0.0000639,55003.811045,0.040182,0.0661,-1.0000,0.0272,-1.0000,1.0000,0.18,293.4469,37.7212,71.0830,8.6059,16.4740,5519.0000,-1.0000,-1.0000,True,False,
2453212,Kepler,-1,1,0.4367160,0.0000004,55002.014475,0.024682,0.0623,0.0598,0.2562,0.2307,0.5024,0.98,293.6166,37.7898,71.2076,8.5192,15.9460,6288.0000,-1.0000,-1.0000,False,False,
2556127,Kepler,-1,1,0.4188713,0.0000003,54953.710274,0.011073,0.0085,0.0058,0.1222,0.1214,0.4994,0.60,286.4202,37.8058,68.6932,13.6413,12.8950,5920.0000,6138.0000,6359.0000,False,True,
2557430,Kepler,-1,1,1.2977364,0.0000015,54954.461036,0.017907,0.0403,0.0306,0.0790,0.0743,0.5005,0.51,286.8453,37.8159,68.8435,13.3388,11.4710,6248.0000,6547.0000,-9999.0000,False,True,
2558370,Kepler,3855,1,0.5462481,0.0000013,55000.092666,0.013422,0.1178,-1.0000,0.1324,-1.0000,1.0000,0.57,287.1360,37.8383,68.9613,13.1386,18.5500,-1.0000,-1.0000,-1.0000,True,False,
2569494,Kepler,3704,1,1.5233235,0.0000102,55000.349187,0.060781,0.1557,-1.0000,0.1160,-1.0000,1.0000,0.58,290.1788,37.8490,70.0144,10.9676,17.3800,5114.0000,-1.0000,-1.0000,True,True,
2570289,Kepler,-1,1,0.2790278,0.0000002,54964.579321,0.017007,0.0947,0.0830,0.2050,0.1694,0.4945,0.90,290.2613,37.8135,70.0110,10.8936,15.3300,5966.0000,6062.0000,6360.0000,False,False,
2571439,Kepler,-1,1,0.3209791,0.0000002,54964.701572,0.018242,0.0524,0.0442,0.2566,0.2463,0.5106,0.93,290.4693,37.8552,70.1227,10.7643,14.6960,5046.0000,5251.0000,5507.0000,False,False,
2576107,Kepler,3709,1,205.5830170,0.0019230,54862.171422,0.038232,0.0198,-1.0000,0.0011,-1.0000,1.0000,0.00,291.5231,37.8876,70.5282,10.0336,15.2470,6118.0000,6362.0000,6083.0000,True,False,
2576692,Kepler,-1,1,87.8785329,0.0006381,55027.106692,0.076217,0.3189,0.2588,0.0049,0.0068,0.4089,0.04,291.6430,37.8143,70.5049,9.9160,12.7440,5573.0000,5803.0000,5994.0000,False,False,
2577756,Kepler,-1,1,0.8703335,0.0000009,54964.662821,0.033717,0.1013,-1.0000,0.1367,-1.0000,1.0000,0.63,291.8620,37.8299,70.5983,9.7687,15.5140,5630.0000,5935.0000,5712.0000,False,False,
2580872,Kepler,-1,1,15.9266276,0.0000571,54978.551299,0.044913,0.2555,0.1670,0.0157,0.0224,0.4659,0.12,292.5286,37.8100,70.8232,9.2907,14.8800,5293.0000,5432.0000,-9999.0000,False,False,
2693092,Kepler,-1,1,39.8415237,0.0002106,54961.298937,0.055086,0.1369,0.0046,0.0077,0.0071,0.3437,0.05,285.9048,37.9281,68.6396,14.0629,12.0030,5819.0000,5996.0000,6099.0000,False,True,
2694741,Kepler,-1,1,0.3266474,0.0000002,54953.773721,0.019405,0.1402,0.1144,0.2482,0.2301,0.4916,0.93,286.4123,37.9082,68.7870,13.6886,12.2970,5302.0000,5502.0000,5565.0000,False,False,
2695740,Kepler,-1,1,3.6158751,0.0000067,54956.418200,0.208455,0.1494,0.1411,0.0876,0.0894,0.4860,0.85,286.7307,37.9443,68.9260,13.4738,13.2400,4881.0000,5049.0000,4967.0000,False,False,
2696703,Kepler,3161,1,6.0940940,0.0000142,54997.116516,0.050387,0.0040,-1.0000,0.0083,-1.0000,1.0000,0.06,287.0574,37.9914,69.0784,13.2580,9.5800,-1.0000,-1.0000,-1.0000,True,False,
2697935,Kepler,3853,1,21.5133595,0.0001029,55008.469440,-1,0.0024,-1.0000,0.0044,-1.0000,1.0000,-1.00,287.4679,37.9666,69.1922,12.9530,10.6300,4883.0000,-1.0000,-1.0000,True,False,
2708156,Kepler,-1,1,1.8912721,0.0000026,54954.335595,0.046299,0.6212,0.0625,0.1266,0.1318,0.5000,0.57,290.2871,37.9365,70.1327,10.9292,10.6720,11061.0000,-9999.0000,7223.0000,False,True,
2708614,Kepler,-1,1,52.8858904,0.0050535,55032.893022,0.050855,0.0116,0.0080,0.0055,0.0023,0.1506,0.03,290.4016,37.9420,70.1781,10.8504,15.6940,6252.0000,6488.0000,6152.0000,False,False,
2711114,Kepler,-1,1,2.8588804,0.0000048,54967.174931,0.016196,0.0033,0.0022,0.0330,0.0306,0.4999,0.29,291.0142,37.9697,70.4205,10.4294,12.3350,6281.0000,6500.0000,6337.0000,False,False,
2715007,Kepler,-1,1,0.2971105,0.0000002,54964.782119,0.018796,0.0389,0.0334,0.1983,0.1964,0.5101,0.87,291.8773,37.9508,70.7132,9.8126,14.7300,5598.0000,5810.0000,5996.0000,False,False,
2715417,Kepler,-1,1,0.2364399,0.0000001,54964.666158,0.013583,0.1005,0.0886,0.1445,0.1210,0.5004,0.77,291.9690,37.9278,70.7256,9.7376,14.0700,5189.0000,5389.0000,5551.0000,False,False,
2717141,Kepler,-1,1,0.3945715,0.0000003,54953.756174,0.022583,0.4340,0.4225,0.1537,0.1173,0.4991,0.78,292.3262,37.9615,70.8858,9.5020,13.5190,6140.0000,6327.0000,6478.0000,False,True,
2719436,Kepler,-1,1,0.7434797,0.0000078,54999.715360,0.032161,0.1982,0.1284,0.1821,0.1839,0.5015,0.67,292.8332,37.9371,71.0494,9.1355,14.0150,7041.0000,7301.0000,7191.0000,False,True,
2719873,Kepler,6096,1,17.2792902,0.0000639,54968.273349,0.032901,0.1642,0.0085,0.0106,0.0143,0.4989,0.07,292.9306,37.9644,71.1098,9.0799,15.1600,5086.0000,5362.0000,5087.0000,True,False,
2720096,Kepler,-1,1,26.6746797,0.0001330,55003.029283,-1,0.0000,-1.0000,0.0595,-1.0000,1.0000,-1.00,292.9791,37.9109,71.0796,9.0213,13.0470,4832.0000,5021.0000,4999.0000,False,False,
2720354,Kepler,-1,1,2.8213281,0.0000047,54956.215382,0.035955,0.0735,0.0095,0.0689,0.0393,0.5003,0.46,293.0361,37.9547,71.1400,9.0016,13.1160,6513.0000,6754.0000,6642.0000,False,False,
2831632,Kepler,-1,1,2.5731720,0.0000041,54954.729960,0.149520,0.0092,0.0078,0.2342,0.2722,0.5145,0.92,285.6901,38.0761,68.7098,14.2772,13.1980,7045.0000,-9999.0000,7084.0000,False,False,
2835289,Kepler,-1,1,0.8577619,0.0000008,55000.442959,0.052267,0.0226,0.0183,0.2371,0.2726,0.5077,0.92,286.8593,38.0275,69.0466,13.4152,13.0090,6228.0000,6426.0000,6298.0000,False,True,
