KIC	T1	e_T1	T2	e_T2	R1/D	e_R1/D	R2/R1	e_R2/R1	T2/T1	Qual	Src	KIS	T1j	T2j	R2/R1j	T1k1	T2k1	R2/R1k1	Simbad	_RA	_DE
 6301030	 6194	  610	 6445	  828	 5.42e-12	 1.83e-12	 0.724	 0.293	 1.024	00000	0100	1	 5736	 6738	 0.660	 6194	 6445	 0.724	Simbad	296.296360	+41.604561
 6302051	 9501	  511	 7411	  673	 2.06e-11	 2.18e-12	 1.183	 0.198	 0.881	00000	1110	2	10636	 7248	 1.464	 8943	 7750	 0.910	Simbad	296.537600	+41.670689
 6302592	10234	  398	 6055	  602	 1.65e-11	 1.74e-12	 1.468	 0.156	 0.929	00100	1110	2	10298	 5956	 1.521	10531	 6180	 1.426	Simbad	296.660250	+41.614391
 6307062	 5744	  361	 4465	  583	 2.18e-11	 2.22e-12	 0.798	 0.214	 0.771	00000	0110	2	 5778	 4467	 0.810	 5770	 4406	 0.810	Simbad	297.629120	+41.641510
 6307083	 5004	  353	 4769	  613	 8.33e-11	 5.69e-12	 0.674	 0.221	 0.700	00010	1110	2	 4969	 4852	 0.617	 5081	 4849	 0.713	Simbad	297.635190	+41.641869
 6307537	 5134	  353	 4120	  591	 1.04e-10	 4.58e-12	 0.547	 0.192	 0.780	11000	1100	1	 5135	 4100	 0.484	 5097	 4166	 0.720	Simbad	297.757080	+41.680454
 6311637	 5962	  385	 4765	  814	 4.34e-11	 4.33e-12	 0.590	 0.280	 0.733	00000	0100	1	 6269	 4579	 0.789	 5962	 4765	 0.590	Simbad	298.703340	+41.633961
 6312521	 5754	  361	 4187	  562	 8.79e-12	 1.73e-12	 1.259	 0.207	 0.824	00000	1010	2	 5733	 4064	 1.344	 5750	 4592	 0.974	Simbad	298.882350	+41.663330
 6314173	 8595	  597	 5681	  965	 4.30e-12	 1.76e-12	 0.853	 0.373	 0.652	00000	0100	1	 9297	 6293	 0.948	 8595	 5681	 0.853	Simbad	299.240630	+41.621681
 6350020	 5729	  357	 5697	  638	 1.67e-11	 2.19e-12	 0.540	 0.270	 0.987	00000	1000	1	 5729	 5697	 0.540	 6145	 5983	 0.882	Simbad	286.645230	+41.703362
 6353203	 6656	  364	 3986	  641	 6.85e-11	 3.25e-12	 0.848	 0.206	 0.946	00000	1000	1	 6656	 3986	 0.848	 6134	 5785	 0.778	Simbad	288.036620	+41.790089
 6359771	 6524	  393	 6182	  649	 1.55e-11	 2.54e-12	 0.757	 0.308	 0.947	00000	0100	1	 6553	 5437	 1.141	 6524	 6182	 0.757	Simbad	290.342290	+41.786629
 6359798	 5807	  355	 4722	  542	 4.96e-11	 1.97e-12	 0.762	 0.163	 0.806	00001	1100	1	 5823	 4676	 0.702	 5699	 4775	 0.831	Simbad	290.352940	+41.769741
 6362386	 8243	 1965	 8254	 2006	 3.14e-11	 6.77e-12	 0.776	 0.564	 0.455	00000	1100	1	 8210	 8259	 0.797	 8277	 8249	 0.756	Simbad	291.264160	+41.748840
 6363494	11541	  382	11306	  610	 1.02e-11	 1.80e-12	 0.633	 0.226	 0.969	10000	1100	1	11425	11095	 0.572	11908	11583	 0.749	Simbad	291.634950	+41.765690
