KIC	T1	e_T1	T2	e_T2	R1/D	e_R1/D	R2/R1	e_R2/R1	T2/T1	Qual	Src	KIS	T1j	T2j	R2/R1j	T1k1	T2k1	R2/R1k1	Simbad	_RA	_DE
 1026032	 6150	  359	 4863	  556	 2.03e-11	 1.98e-12	 0.562	 0.209	 0.785	00000	1100	1	 6129	 4835	 0.579	 6201	 4908	 0.526	Simbad	291.044070	+36.729271
 1026957	 4777	  352	 4249	  642	 8.65e-11	 4.84e-12	 0.517	 0.223	 0.700	00010	1100	1	 4755	 4545	 0.415	 4897	 3920	 0.749	Simbad	291.254490	+36.743610
 1433410	 5930	  375	 6033	  650	 2.74e-11	 2.25e-12	 0.649	 0.200	 0.700	00010	1110	2	 5900	 6041	 0.677	 5991	 6055	 0.594	Simbad	291.637760	+37.082272
 1433980	 6870	  371	 5484	  558	 1.55e-11	 2.01e-12	 0.966	 0.221	 0.781	00000	1110	2	 6880	 5463	 1.197	 6953	 5527	 0.769	Simbad	291.766330	+37.097191
 1571511	 5946	  364	 6024	  685	 3.53e-11	 2.79e-12	 0.591	 0.218	 0.700	00010	1110	2	 5861	 5938	 0.576	 6039	 6121	 0.674	Simbad	290.996920	+37.199219
 1572353	 4709	  356	 4458	  557	 2.64e-11	 3.40e-12	 0.663	 0.306	 0.943	00000	0100	1	 3910	 3795	 0.870	 4709	 4458	 0.663	Simbad	291.188600	+37.161629
 1575690	 4207	  371	 3776	  570	 3.07e-11	 3.82e-12	 0.756	 0.308	 0.875	00000	0100	2	 3927	 3835	 0.900	 4207	 3776	 0.756	Simbad	291.881900	+37.189110
 1722276	 5567	  352	 4639	  593	 2.58e-11	 1.88e-12	 0.696	 0.176	 0.700	00010	1111	3	 5573	 3811	 0.690	 5613	 5221	 0.801	Simbad	291.696720	+37.238041
 1725193	 6045	  355	 5988	  555	 2.14e-11	 2.26e-12	 0.691	 0.225	 0.978	00000	1100	1	 5983	 5902	 0.625	 6195	 6076	 0.790	Simbad	292.294310	+37.261730
 1868650	31302	 2247	31311	 2499	 6.90e-12	 2.59e-12	 0.898	 0.160	 0.999	10001	1100	1	33028	33860	 0.938	28590	28981	 0.828	Simbad	291.539370	+37.335602
 1873513	 3539	  351	 4035	  543	 4.33e-11	 2.60e-12	 0.615	 0.183	 0.700	00010	1100	1	 3534	 3949	 0.710	 3549	 4095	 0.604	Simbad	292.579860	+37.376411
 1995732	 5197	  353	 5016	  563	 1.73e-11	 2.18e-12	 0.670	 0.249	 0.907	00000	1100	1	 5165	 5001	 0.638	 5281	 5042	 0.726	Simbad	286.216000	+37.425240
 2010607	 6245	  392	 5663	 1183	 8.30e-11	 8.28e-12	 0.505	 0.296	 0.700	00010	1000	1	 6245	 5663	 0.505	 7252	 5453	 0.911	Simbad	290.505650	+37.459011
 2012362	 6590	  378	 6136	  692	 2.17e-11	 2.41e-12	 0.732	 0.242	 0.965	00000	1100	1	 6624	 5216	 0.802	 6561	 6258	 0.682	Simbad	290.925230	+37.476318
 2019076	 6200	  361	 5185	  561	 1.34e-11	 1.86e-12	 0.853	 0.209	 0.865	00000	1110	2	 6317	 4971	 1.001	 6143	 5289	 0.729	Simbad	292.462490	+37.442619
 2141697	 6326	  369	 6322	  699	 2.99e-11	 3.28e-12	 0.794	 0.253	 1.003	00000	1100	1	 6273	 5914	 0.823	 6575	 6501	 0.753	Simbad	286.344880	+37.501808
 2159783	 6135	  353	 6086	  546	 1.69e-11	 1.97e-12	 0.740	 0.208	 0.988	00000	0111	3	 5997	 5901	 0.731	 6254	 6181	 0.697	Simbad	291.359380	+37.553322
 2161623	 7045	  766	 5107	 1086	 1.93e-11	 2.17e-12	 0.912	 0.197	 0.700	00010	1010	2	 6907	 4484	 0.937	 6902	 5748	 0.880	Simbad	291.744450	+37.591019
 2162283	 7526	  350	 7523	  540	 1.28e-10	 3.89e-12	 0.802	 0.162	 1.000	00001	1110	2	 7527	 7521	 0.771	 7519	 7518	 0.752	Simbad	291.891780	+37.556820
 2162994	 5824	  358	 5685	  551	 2.54e-11	 2.79e-12	 0.851	 0.243	 0.975	00000	1100	1	 5786	 5628	 0.822	 5854	 5710	 0.881	Simbad	292.058010	+37.592049
 2166200	 6808	  696	 5723	 1629	 5.34e-12	 1.73e-12	 0.686	 0.309	 0.700	00010	0100	1	 6976	 8640	 0.504	 6808	 5723	 0.686	Simbad	292.733700	+37.559311
 2167890	 4878	  370	 4765	  624	 7.90e-11	 5.20e-12	 0.666	 0.216	 0.700	00010	1110	2	 4849	 4803	 0.693	 4955	 4699	 0.607	Simbad	293.093630	+37.514511
 2302092	 5313	  367	 5037	  596	 2.78e-11	 4.24e-12	 0.755	 0.347	 0.944	00100	0100	1	 5369	 5136	 0.859	 5313	 5037	 0.755	Simbad	291.262300	+37.697899
 2305277	 6142	  364	 6098	  581	 1.62e-11	 1.94e-12	 0.735	 0.206	 0.995	00000	1110	2	 6108	 5761	 0.658	 6155	 6100	 0.835	Simbad	291.970730	+37.651192
 2305372	 6208	  356	 3942	  559	 3.29e-11	 2.11e-12	 1.029	 0.164	 0.659	00100	1110	2	 6260	 3703	 1.192	 6171	 4081	 0.813	Simbad	291.990330	+37.672749
 2305543	 5917	  362	 5821	  578	 5.09e-11	 3.80e-12	 0.715	 0.217	 0.989	00000	1110	2	 5802	 5815	 0.775	 5968	 5842	 0.710	Simbad	292.026860	+37.600651
 2306740	 6061	  369	 5769	  656	 3.44e-11	 3.00e-12	 0.702	 0.224	 0.984	00000	1110	2	 6088	 5078	 0.744	 6036	 5971	 0.643	Simbad	292.269810	+37.698200
 2306756	 5400	  354	 5335	  595	 6.61e-11	 5.23e-12	 0.613	 0.238	 0.700	00010	1100	1	 5395	 5354	 0.628	 5430	 5201	 0.590	Simbad	292.273740	+37.671558
 2307206	 5680	  359	 5218	  611	 1.47e-11	 1.88e-12	 0.651	 0.210	 0.864	00000	1110	2	 5682	 5175	 0.810	 5691	 5266	 0.627	Simbad	292.376160	+37.657459
 2308957	 5994	  363	 5826	  562	 2.19e-11	 2.55e-12	 0.815	 0.246	 0.971	00000	1100	1	 5945	 5776	 0.827	 6022	 5868	 0.802	Simbad	292.751830	+37.603539
 2309587	 5766	  381	 5577	  774	 3.10e-11	 3.07e-12	 0.663	 0.247	 0.700	00010	1100	1	 5617	 5484	 0.681	 5805	 5618	 0.647	Simbad	292.899720	+37.659309
 2309719	 6011	  440	 5637	 1022	 4.52e-11	 3.92e-12	 0.623	 0.235	 0.700	00010	1000	1	 6011	 5637	 0.623	 6030	 5836	 0.675	Simbad	292.930850	+37.606640
 2435971	 5289	  357	 3608	  552	 1.50e-11	 2.34e-12	 1.091	 0.203	 0.930	11000	0100	1	 5636	 5240	 0.788	 5289	 3608	 1.091	Simbad	290.079620	+37.787964
 2437038	 5715	  398	 5582	  658	 1.28e-11	 2.23e-12	 0.735	 0.306	 0.982	00000	0100	1	 5945	 5795	 0.944	 5715	 5582	 0.735	Simbad	290.198360	+37.742142
 2437060	 4930	  358	 3861	  577	 1.45e-11	 1.93e-12	 0.878	 0.213	 0.700	00010	1100	1	 4355	 4577	 0.862	 4939	 3806	 0.884	Simbad	290.199520	+37.776989
 2437149	 5457	  362	 5165	  624	 7.44e-12	 1.78e-12	 0.667	 0.260	 0.900	00000	1100	1	 5596	 5220	 0.729	 5415	 5137	 0.619	Simbad	290.205750	+37.769138
 2437452	 5489	  361	 4552	  610	 9.09e-12	 1.83e-12	 0.767	 0.253	 0.801	00000	1100	1	 5677	 4469	 0.894	 5377	 4763	 0.595	Simbad	290.226170	+37.759640
 2437783	 6149	 1600	 6343	 2474	 2.26e-09	 1.29e-09	 0.801	 0.331	 0.700	11010	1000	0	 6149	 6343	 0.801	     	     	      	Simbad	290.251980	+37.763203
 2438061	 5279	  357	 4560	  568	 7.46e-12	 1.75e-12	 0.699	 0.251	 0.856	11000	0011	3	 5405	 4608	 0.774	 5240	 4610	 0.778	Simbad	290.277010	+37.790970
 2438490	 5459	  377	 5221	  683	 6.73e-12	 1.73e-12	 0.708	 0.233	 0.700	00010	0111	3	 4881	 5609	 0.740	 5433	 5086	 0.698	Simbad	290.325960	+37.761520
 2441161	 5502	  363	 4887	  571	 1.03e-11	 1.81e-12	 0.904	 0.214	 0.905	00000	1110	2	 5864	 4677	 1.238	 5524	 5065	 0.782	Simbad	290.938450	+37.701172
 2442084	 3971	  352	 3820	  554	 3.59e-11	 3.02e-12	 0.596	 0.232	 0.918	00000	1100	1	 3934	 3786	 0.627	 4011	 3870	 0.572	Simbad	291.160100	+37.761101
 2444187	 6873	  352	 6830	  542	 2.26e-11	 2.78e-12	 0.860	 0.262	 0.992	00000	1100	1	 6827	 6771	 0.812	 6973	 6916	 0.888	Simbad	291.632320	+37.737961
 2445134	 6468	  356	 3958	  692	 3.50e-11	 1.98e-12	 0.404	 0.197	 0.481	00000	1100	1	 6428	 3911	 0.411	 6540	 4027	 0.394	Simbad	291.849700	+37.738621
 2446623	 6073	  427	 5616	  760	 1.32e-11	 1.87e-12	 0.783	 0.212	 0.700	00010	1110	2	 6224	 5234	 0.797	 6025	 5841	 0.794	Simbad	292.165280	+37.794048
 2447893	 5526	  355	 4860	  551	 2.58e-11	 2.38e-12	 0.872	 0.207	 0.905	00000	1100	1	 5529	 4630	 0.935	 5524	 4961	 0.824	Simbad	292.424040	+37.794521
 2448320	 5553	  356	 5325	  555	 1.45e-11	 2.05e-12	 0.741	 0.243	 0.957	00000	0110	2	 5500	 5253	 0.656	 5565	 5326	 0.772	Simbad	292.519130	+37.716011
 2449084	 6281	  355	 3562	  542	 1.78e-11	 1.83e-12	 1.072	 0.168	 0.700	00010	1100	1	 6283	 3560	 1.104	 6273	 3781	 0.882	Simbad	292.695560	+37.771969
 2449090	 5690	  406	 4284	  713	 6.43e-12	 1.78e-12	 0.804	 0.344	 0.730	11000	1000	0	 5690	 4284	 0.804	     	     	      	Simbad	292.696290	+37.707237
 2450566	 6711	  359	 6776	  597	 6.00e-11	 5.81e-12	 0.654	 0.265	 1.015	00100	1000	2	 6711	 6776	 0.654	 6954	 7036	 0.765	Simbad	293.036290	+37.762741
 2452440	 5801	  688	 5516	 1194	 1.04e-11	 2.21e-12	 0.786	 0.342	 0.700	00010	0100	1	 5885	 5334	 0.740	 5801	 5516	 0.786	Simbad	293.446870	+37.721210
 2453212	 6669	  386	 6552	  664	 9.42e-12	 1.89e-12	 0.794	 0.269	 0.989	00000	1100	1	 6642	 6449	 0.802	 6752	 6681	 0.785	Simbad	293.616610	+37.789761
 2556127	 6328	  358	 5800	  559	 3.92e-11	 3.63e-12	 0.688	 0.245	 0.909	00000	1100	1	 6260	 5746	 0.684	 6450	 5875	 0.694	Simbad	286.420200	+37.805752
 2557430	 6757	  359	 6129	  543	 6.42e-11	 1.10e-09	 0.800	 0.150	 0.900	00001	1100	1	 6756	 6125	 0.794	 6913	 6243	 0.806	Simbad	286.845280	+37.815891
 2558370	 4678	  867	 4636	 1048	 4.09e-12	 1.12e-09	 0.765	 0.155	 0.700	11011	1100	1	 6181	 6322	 0.804	 4594	 4525	 0.729	Simbad	287.135960	+37.838306
 2569494	 5156	  500	 4857	  907	 8.34e-12	 1.95e-12	 0.707	 0.331	 0.700	00010	0100	1	 5168	 4938	 0.875	 5156	 4857	 0.707	Simbad	290.178830	+37.848949
 2570289	 6401	  375	 6106	  638	 1.45e-11	 1.99e-12	 0.753	 0.231	 0.970	00000	1110	2	 6434	 6032	 0.751	 6303	 6066	 0.774	Simbad	290.261260	+37.813492
 2571439	 5314	  355	 5121	  555	 2.51e-11	 2.75e-12	 0.772	 0.247	 0.957	00000	1100	1	 5296	 5077	 0.762	 5329	 5156	 0.789	Simbad	290.469300	+37.855228
 2576107	 6866	  381	 4114	  605	 1.37e-11	 2.01e-12	 0.943	 0.214	 0.700	00010	1110	2	 6924	 3872	 1.042	 6020	 6279	 0.900	Simbad	291.523130	+37.887642
 2576692	 5784	  360	 5643	  581	 4.45e-11	 4.95e-12	 0.823	 0.278	 0.941	00000	1100	1	 5782	 5682	 0.808	 5790	 5597	 0.838	Simbad	291.643010	+37.814259
 2577756	 5823	  418	 5494	 1221	 1.50e-11	 2.29e-12	 0.566	 0.303	 0.700	00010	0100	1	 5840	 5435	 0.757	 5823	 5494	 0.566	Simbad	291.862000	+37.829941
 2580872	 5267	  383	 4879	  704	 2.62e-11	 3.44e-12	 0.646	 0.314	 0.898	00000	0100	1	 5283	 4794	 0.717	 5267	 4879	 0.646	Simbad	292.528590	+37.810020
 2693092	 5926	  353	 4129	  954	 7.68e-11	 3.37e-12	 0.233	 0.211	 0.424	00000	1000	1	 5926	 4129	 0.233	 7132	 3891	 0.852	Simbad	285.904850	+37.928089
 2694741	 5491	  362	 5138	  645	 6.90e-11	 5.95e-12	 0.608	 0.252	 0.950	00000	1000	1	 5491	 5138	 0.608	 5704	 5384	 0.757	Simbad	286.412290	+37.908199
 2695740	 5268	  762	 4501	 1079	 5.48e-11	 1.03e-11	 1.070	 0.406	 0.985	00001	1100	1	 4559	 6180	 0.543	 5911	 4312	 1.296	Simbad	286.730680	+37.944309
 2697935	 4916	  365	 4829	  587	 1.75e-10	 2.26e-11	 0.839	 0.316	 0.700	00010	1000	1	 4916	 4829	 0.839	 4725	 4871	 0.749	Simbad	287.467860	+37.966640
 2708156	15058	  515	10411	 2484	 4.98e-11	 4.78e-12	 0.273	 0.322	 0.569	10100	1000	2	15058	10411	 0.273	 9913	 5493	 0.929	Simbad	290.287110	+37.936508
 2708614	 6586	  391	 5871	  689	 1.16e-11	 1.85e-12	 0.779	 0.220	 0.898	00000	1110	2	 6593	 5506	 0.773	 6603	 6098	 0.759	Simbad	290.401580	+37.942009
 2711114	 6671	  368	 6060	  598	 4.86e-11	 3.33e-12	 0.736	 0.203	 0.914	00000	1111	3	 6509	 5962	 0.763	 6687	 6117	 0.742	Simbad	291.014220	+37.969711
 2715007	 6173	  354	 5943	  545	 1.90e-11	 2.49e-12	 0.793	 0.268	 0.963	00000	1100	1	 6110	 5876	 0.796	 6248	 6012	 0.790	Simbad	291.877320	+37.950790
 2715417	 5753	  398	 4305	  713	 2.84e-11	 2.48e-12	 1.025	 0.198	 0.966	00000	1100	1	 5794	 4160	 1.126	 5081	 4709	 0.958	Simbad	291.969020	+37.927769
 2717141	 6378	  372	 6311	  576	 2.67e-11	 3.09e-12	 0.885	 0.258	 0.992	00000	1100	1	 6452	 6408	 0.870	 6248	 6162	 0.901	Simbad	292.326200	+37.961498
 2719873	 5406	  361	 4381	  620	 2.23e-11	 1.95e-12	 0.648	 0.197	 0.478	00000	1110	2	 5706	 4606	 1.103	 5396	 4079	 0.596	Simbad	292.930600	+37.964420
 2720096	 4913	  354	 4844	  556	 6.69e-11	 5.54e-12	 0.818	 0.230	 0.700	00010	1110	2	 4871	 4834	 0.861	 4947	 4891	 0.749	Simbad	292.979060	+37.910919
 2720354	 7082	  365	 4688	  719	 3.59e-11	 2.19e-12	 0.537	 0.191	 0.598	00000	1110	2	 7025	 4550	 0.470	 7386	 4864	 0.630	Simbad	293.036100	+37.954739
 2831632	 7584	  372	 7229	  607	 2.64e-11	 2.21e-12	 0.749	 0.195	 0.962	00000	1111	3	 7498	 7163	 0.764	 7712	 7325	 0.747	Simbad	285.690090	+38.076092
 2835289	 6248	  366	 6454	  647	 3.84e-11	 3.35e-12	 0.662	 0.234	 1.050	00100	1100	1	 6230	 6390	 0.581	 6338	 6546	 0.763	Simbad	286.859280	+38.027481
 2851100	 4649	  353	 4564	  570	 2.07e-11	 2.47e-12	 0.686	 0.259	 0.700	00010	1100	1	 4616	 4574	 0.746	 4674	 4541	 0.616	Simbad	291.170680	+38.008591
 2851474	 9530	  896	 8403	  748	 2.67e-11	 2.00e-11	 0.701	 0.169	 0.978	00001	1100	1	 9572	 8730	 0.636	 7923	 7694	 0.792	Simbad	291.249110	+38.042679
 2852560	 5621	  357	 5378	  591	 1.67e-11	 2.17e-12	 0.684	 0.249	 0.901	00000	1100	1	 5598	 5361	 0.680	 5645	 5403	 0.690	Simbad	291.466030	+38.005039
 2854432	 5385	  356	 5285	  549	 2.11e-11	 2.47e-12	 0.853	 0.240	 0.979	00000	0110	2	 5118	 4995	 0.795	 5307	 5155	 0.817	Simbad	291.866610	+38.085491
 2854752	 6745	  377	 9120	  732	 2.67e-11	 1.68e-12	 0.260	 0.158	 0.890	00000	1100	1	 6594	11172	 0.243	 7590	 7014	 0.775	Simbad	291.935730	+38.006290
 2854948	 5631	  401	 5431	  839	 1.48e-11	 1.94e-12	 0.626	 0.226	 0.700	00010	0110	2	 5512	 5035	 0.793	 5575	 5502	 0.773	Simbad	291.984160	+38.088371
 2856960	 4833	  354	 4946	  548	 1.93e-11	 2.43e-12	 0.813	 0.255	 1.030	00100	1100	1	 4794	 4935	 0.856	 4848	 4952	 0.769	Simbad	292.381320	+38.076649
 2858322	 5894	  359	 5572	  571	 2.02e-11	 2.16e-12	 0.768	 0.218	 0.874	00000	1111	3	 5891	 5588	 0.683	 5894	 5527	 0.860	Simbad	292.674590	+38.064831
 2860594	 7157	  418	 5669	  669	 2.77e-11	 2.53e-12	 0.817	 0.217	 0.749	00000	1100	1	 7307	 5972	 0.907	 7123	 5559	 0.649	Simbad	293.164950	+38.069130
 2860788	 5569	  355	 5101	  552	 3.04e-11	 2.66e-12	 0.922	 0.211	 0.977	00000	1100	1	 5685	 4703	 0.965	 5459	 5307	 0.789	Simbad	293.207340	+38.009029
 2972514	 6582	  387	 6080	  834	 2.24e-11	 2.40e-12	 0.660	 0.236	 0.700	00010	1100	1	 6502	 6068	 0.701	 6880	 6122	 0.612	Simbad	286.685760	+38.170250
 2973509	 6381	  375	 5877	  651	 2.97e-11	 3.00e-12	 0.706	 0.249	 0.892	00000	1100	1	 6318	 5795	 0.673	 6556	 6021	 0.732	Simbad	287.025700	+38.171021
 2983113	 6788	  392	 6496	  670	 1.31e-11	 1.93e-12	 0.772	 0.223	 0.976	00000	1100	1	 6790	 6513	 0.777	 6786	 6475	 0.759	Simbad	289.863010	+38.152390
 2987433	 6901	  359	 3817	  573	 2.67e-11	 2.19e-12	 0.808	 0.179	 0.700	00010	1110	2	 6932	 3722	 0.911	 6708	 5710	 0.601	Simbad	290.938960	+38.119572
 2988984	 7288	  436	10235	  875	 1.22e-11	 1.70e-12	 0.456	 0.180	 0.992	00000	1100	1	 7219	11046	 0.405	 7486	 7719	 0.649	Simbad	291.288020	+38.172031
 2996347	 5820	  365	 5847	  589	 1.47e-11	 2.13e-12	 0.768	 0.254	 1.008	00000	1100	1	 5717	 5670	 0.771	 5838	 5860	 0.763	Simbad	292.885350	+38.193729
 2998124	 6839	  361	 3882	  663	 3.79e-11	 2.04e-12	 0.598	 0.205	 0.414	00000	1100	1	 6828	 3807	 0.595	 6877	 4037	 0.601	Simbad	293.266360	+38.126080
 3003991	 5964	  365	 4359	  571	 2.84e-11	 2.38e-12	 1.036	 0.199	 0.476	00000	1100	1	 5974	 4617	 1.113	 5938	 3899	 0.817	Simbad	294.489960	+38.199619
 3097352	 6499	  724	 5689	 1274	 6.90e-12	 1.86e-12	 0.831	 0.308	 0.700	00010	0010	2	 6373	 5627	 0.827	 6279	 5581	 0.703	Simbad	285.687040	+38.261150
 3098194	 5454	  355	 5452	  562	 3.37e-11	 2.98e-12	 0.654	 0.230	 1.010	00000	1100	1	 5421	 5432	 0.676	 5520	 5551	 0.627	Simbad	286.003080	+38.285721
 3102000	 6120	  458	 5357	  853	 1.13e-11	 1.85e-12	 0.743	 0.224	 0.700	00010	1100	1	 6162	 5243	 0.877	 6086	 5642	 0.633	Simbad	287.349460	+38.286041
 3102024	 5861	  416	 4481	  622	 4.37e-11	 4.53e-12	 1.302	 0.237	 0.915	00000	1000	1	 5861	 4481	 1.302	 5533	 5069	 0.831	Simbad	287.356080	+38.212212
 3104113	 5799	  370	 5889	  714	 3.48e-11	 3.33e-12	 0.519	 0.254	 0.976	00000	1100	1	 5559	 7407	 0.426	 5873	 5683	 0.700	Simbad	288.039670	+38.294128
 3114667	 4216	  356	 3933	  550	 1.49e-11	 1.96e-12	 0.846	 0.219	 0.941	11000	1110	2	 4143	 3911	 0.797	 4231	 3975	 0.928	Simbad	290.997250	+38.282616
 3115480	 6410	  361	 5546	  559	 2.01e-11	 2.21e-12	 0.707	 0.229	 0.853	00000	1110	2	 6309	 5458	 0.661	 6472	 5583	 0.735	Simbad	291.193210	+38.244652
 3119295	 6854	  401	11065	  852	 1.80e-11	 1.68e-12	 0.329	 0.162	 0.700	00010	1100	1	 6774	11535	 0.308	 7877	 7270	 0.717	Simbad	292.059690	+38.266869
 3120320	 5904	  358	 4730	 1162	 1.14e-10	 1.37e-11	 0.413	 0.368	 0.554	00000	1000	1	 5904	 4730	 0.413	 6498	 3792	 0.813	Simbad	292.291960	+38.284489
 3120431	 5221	  352	 5099	  577	 1.76e-11	 2.09e-12	 0.669	 0.234	 0.700	00010	1110	2	 5185	 5117	 0.755	 5181	 4947	 0.818	Simbad	292.315950	+38.270290
 3122985	 5732	  619	 5425	 1172	 2.29e-11	 3.31e-12	 0.708	 0.311	 0.700	00010	0100	1	 6833	 5377	 1.530	 5732	 5425	 0.708	Simbad	292.918910	+38.206692
 3124420	 5323	  691	 5271	 1104	 4.52e-12	 1.87e-12	 0.754	 0.328	 0.700	11010	1000	0	 5323	 5271	 0.754	     	     	      	Simbad	293.245360	+38.272182
 3127817	 6233	  374	 6058	  620	 6.39e-11	 8.81e-12	 0.753	 0.347	 0.970	00000	1000	1	 6233	 6058	 0.753	 6554	 6283	 0.736	Simbad	293.999730	+38.232269
 3127873	 6508	  360	 4324	  578	 1.47e-11	 1.89e-12	 0.977	 0.179	 0.955	00000	1110	2	 6482	 3648	 1.090	 6665	 6373	 0.760	Simbad	294.010680	+38.263561
 3130300	 6746	  374	 4411	  648	 2.11e-11	 2.06e-12	 0.894	 0.190	 0.700	00010	1100	1	 6747	 4377	 0.931	 6743	 4613	 0.791	Simbad	294.525570	+38.204632
 3218683	 5699	  382	 4597	  592	 1.24e-11	 1.89e-12	 1.178	 0.207	 0.956	00000	1100	1	 5825	 4644	 1.406	 5573	 4419	 0.977	Simbad	286.400630	+38.376171
 3221207	 7201	  358	 6910	  788	 5.01e-11	 3.08e-12	 0.372	 0.221	 0.977	00000	1000	1	 7201	 6910	 0.372	 6784	 6548	 0.791	Simbad	287.340880	+38.325680
 3222471	 4954	  352	 4651	  636	 3.16e-11	 3.07e-12	 0.537	 0.262	 0.764	00000	1100	1	 4940	 4604	 0.477	 5026	 4713	 0.626	Simbad	287.787750	+38.310440
 3228824	 4693	  353	 4653	  556	 1.94e-11	 2.50e-12	 0.807	 0.264	 0.700	00010	1100	1	 4664	 4646	 0.936	 4721	 4666	 0.724	Simbad	289.764830	+38.352360
 3228863	 6440	  359	 3553	  542	 6.61e-11	 5.73e-12	 1.088	 0.182	 0.870	00100	1000	1	 6440	 3553	 1.088	 7075	 6175	 0.769	Simbad	289.774780	+38.366810
 3230227	 9342	  350	 7485	  607	 1.35e-10	 5.74e-12	 0.737	 0.171	 0.700	00011	1100	1	 9328	 7738	 0.825	 9353	 7185	 0.658	Simbad	290.112580	+38.399872
 3230578	 6878	  464	 6067	  739	 2.85e-11	 2.91e-12	 0.843	 0.239	 0.760	11000	1100	1	 6830	 6060	 0.873	 6930	 6076	 0.798	Simbad	290.203640	+38.374931
 3230787	 5849	  403	 5762	  682	 4.76e-11	 4.80e-12	 0.862	 0.251	 0.700	00010	1100	1	 5760	 5718	 0.845	 5935	 5814	 0.887	Simbad	290.254850	+38.341660
 3231120	 5709	  389	 5711	  746	 1.00e-11	 1.92e-12	 0.729	 0.269	 0.700	00010	1100	1	 5668	 5712	 0.846	 5742	 5710	 0.653	Simbad	290.344450	+38.377071
 3232823	 6503	  372	 6249	  583	 1.37e-11	 1.90e-12	 0.859	 0.214	 0.974	00000	1110	2	 6472	 5236	 0.904	 6476	 6276	 0.794	Simbad	290.852750	+38.326618
 3240159	 6512	  442	 5075	 1228	 5.42e-11	 6.71e-12	 0.700	 0.306	 0.700	00010	1000	1	 6512	 5075	 0.700	 6426	 5894	 0.866	Simbad	292.713170	+38.369659
 3240706	 5479	  384	 6720	  872	 1.90e-11	 2.01e-12	 0.466	 0.217	 0.700	00010	1100	1	 5339	 8028	 0.393	 5984	 6163	 0.799	Simbad	292.856080	+38.372570
 3240976	 6693	  358	 3669	  550	 2.00e-11	 2.03e-12	 0.957	 0.176	 0.700	00010	1110	2	 6707	 3619	 1.049	 6553	 6256	 0.736	Simbad	292.929050	+38.327980
 3241344	 6119	  353	 3644	  548	 2.05e-11	 1.89e-12	 1.361	 0.155	 0.490	00000	1110	2	 6131	 3625	 1.410	 5941	 4368	 0.570	Simbad	293.016540	+38.318451
 3241619	 5715	  356	 4285	  550	 5.64e-11	 3.06e-12	 1.060	 0.178	 0.754	00000	1110	2	 5783	 4340	 1.187	 5709	 4282	 0.934	Simbad	293.094940	+38.361252
 3245776	 6304	  426	 6028	  618	 2.05e-11	 2.52e-12	 0.918	 0.260	 0.995	00000	1100	1	 6124	 4854	 0.918	 6326	 6182	 0.918	Simbad	294.074040	+38.319099
 3247294	 6407	  367	 5062	  682	 2.70e-11	 2.42e-12	 0.841	 0.200	 0.879	00000	1110	2	 6413	 4402	 0.912	 6352	 5727	 0.803	Simbad	294.439910	+38.380840
 3248019	 8247	 1977	 8241	 2006	 1.14e-11	 2.96e-12	 0.705	 0.575	 0.992	00000	1100	1	 8247	 8255	 0.734	 8248	 8228	 0.675	Simbad	294.596830	+38.370140
 3248332	 6973	  362	 6842	  710	 3.29e-11	 2.85e-12	 0.598	 0.234	 0.942	00000	1100	1	 6928	 6681	 0.482	 7383	 6957	 0.773	Simbad	294.664670	+38.333000
 3323289	 5414	  355	 5155	  565	 2.24e-11	 2.32e-12	 0.673	 0.232	 0.898	00000	1110	2	 5364	 5212	 0.725	 5514	 5134	 0.668	Simbad	285.336580	+38.450520
 3327980	 8143	  402	 7612	  679	 3.94e-11	 3.45e-12	 0.772	 0.226	 0.929	00000	1001	3	 7773	 7771	 0.784	 7965	 7364	 0.813	Simbad	287.176120	+38.433498
 3335816	 6599	  366	 5507	  572	 5.83e-11	 4.26e-12	 0.649	 0.224	 0.841	00000	1100	1	 6550	 5340	 0.622	 6704	 5610	 0.703	Simbad	289.698300	+38.406609
 3338660	 6100	  394	 4167	  672	 2.33e-11	 2.87e-12	 0.750	 0.338	 0.666	00000	0100	1	 3511	 3522	 0.486	 6100	 4167	 0.750	Simbad	290.474210	+38.427368
 3339538	 5057	  357	 4861	  654	 5.18e-11	 4.52e-12	 0.624	 0.247	 0.700	00010	1100	1	 4962	 4842	 0.738	 5082	 4889	 0.494	Simbad	290.739440	+38.414139
 3339563	 5603	  420	 4840	  664	 2.85e-11	 3.02e-12	 0.830	 0.249	 0.827	00000	1100	1	 6663	 4776	 1.362	 5576	 5076	 0.630	Simbad	290.745970	+38.443138
 3340313	 6714	  388	 5294	 1006	 9.87e-12	 1.75e-12	 0.679	 0.223	 0.700	00010	1100	1	 6734	 4744	 0.658	 6548	 5972	 0.718	Simbad	290.963960	+38.469501
 3341934	 6613	  377	 4674	  672	 1.47e-11	 1.85e-12	 0.744	 0.203	 0.580	00000	1111	3	 6676	 4571	 0.824	 6619	 4495	 0.718	Simbad	291.386230	+38.491470
 3342425	 6058	  367	 5960	  584	 1.48e-11	 1.99e-12	 0.772	 0.225	 0.976	00000	1110	2	 5938	 5934	 0.741	 6033	 5898	 0.840	Simbad	291.516200	+38.454479
 3342592	 5798	  366	 5919	  746	 1.99e-11	 2.18e-12	 0.590	 0.231	 0.700	00010	1110	2	 5717	 6607	 0.437	 5902	 6014	 0.631	Simbad	291.556300	+38.446289
